"rooms","new","owner","address","floor","square","floors","price","city"
3,0,"Тимофей Багрянцев","Аллея Радарная 1061",2,49.29,18,3694929,"Чайковский"
2,0,"Арсений Алтухов","Аллея Академика Комарова 87",5,35.5,12,7102521,"Кохма"
3,0,"Добрыня Домников","Аллея Аэропортовская 1-я 191",2,57.91,3,5948896,"Оха"
1,1,"Эдуард Воротников","Аллея Болотниковская 17",2,12.95,22,1549690,"Чайковский"
1,0,"Корнилий Гурьев","Аллея Сыромятническая Верхн. 216",1,14.7,5,1436079,"Чайковский"
1,1,"Аида Климентьева","Аллея Панкратьевская 1353",1,17.51,10,2383845,"Чайковский"
3,0,"Матвей Елфимов","ул. Стройкомбината 597",10,57.84,15,7098566,"Кохма"
1,1,"Люсиль Тимофеева","ул. Наставническая 21",1,11.73,13,329913,"Кохма"
2,1,"Эдуард Дмитриев","Аллея Череповецкая 1316",1,33.92,7,4912261,"Кохма"
2,1,"Евстафий Веселый","ул. Менделеевская 678",15,20.07,17,538284,"Кохма"
6,1,"Далида Жулина","ул. Гаврикова 917",2,71.47,16,7938639,"Кохма"
1,1,"Прокопий Ерастов","Аллея Подгорская 874",2,10.0,4,535052,"Холмск"
3,1,"Генриетта Водденикова","ул. Малышева 450",9,39.01,24,3752249,"Чайковский"
1,0,"Риана Сараскина","Аллея Бехтерева 820",4,12.07,5,908883,"Чайковский"
1,0,"Тит Николаев","Аллея Комиссариатская 367",12,10.85,13,318220,"Оха"
1,1,"Чулпан Олферьева","ул. Коккинаки 1235",2,14.05,19,1691029,"Кохма"
3,1,"Архипп Тарусов","ул. Библиотечная 118",11,49.53,15,4851944,"Кохма"
2,0,"Онуфрий Каплан","Аллея Ратная 362",9,33.74,19,2668947,"Холмск"
1,0,"Иннокентий Упатов","Аллея Братская 373",4,15.02,15,671446,"Холмск"
3,0,"Любава Ракова","ул. Витебская 768",10,32.22,12,4750592,"Перевоз"
1,0,"Филат Коваль","Аллея Обручева 1153",3,17.3,5,2205001,"Чайковский"
2,0,"Лола Павлова","Аллея Якушкина 1220",7,23.41,10,3556821,"Кохма"
3,1,"Изабелла Савостьянова","ул. Дениса Давыдова 1069",5,56.87,9,7713936,"Холмск"
1,0,"Адриана Житкова","ул. Пушкарев 201",20,19.14,25,2310796,"Кохма"
5,1,"Гюзель Соломатина","ул. Старомарьинское 15",2,74.58,4,11339529,"Холмск"
3,0,"Мариям Лесина","ул. Чоботовская 11-я 758",1,48.21,2,9003317,"Чайковский"
1,1,"Олег Захарьин","ул. Старообрядческая 1346",1,16.05,2,427816,"Кохма"
1,1,"Ерофей Алешковский","ул. Короленко 452",18,15.7,22,809833,"Кохма"
1,0,"Юна Булгарина","Аллея Радиальная 1-я 742",1,18.78,9,1348923,"Оха"
1,1,"Дамира Валентинова","Аллея Осипенко (пос.Липки) 493",1,15.97,3,2228923,"Чайковский"
1,1,"Альвиан Саломатов","ул. Подвойского 778",14,17.67,20,1669559,"Чайковский"
5,0,"Замира Ульянова","Аллея Нагорная 75",6,65.27,20,5436963,"Чайковский"
1,0,"Марика Арепьева","Аллея Поречная 867",8,10.72,25,1074743,"Чайковский"
2,1,"Ангелина Митрофаньева","Аллея Озерковская 925",13,37.23,20,7487670,"Чайковский"
1,0,"Афанасий Гуцко","ул. Свиблово Ст. 903",13,13.92,19,1633894,"Перевоз"
1,0,"Гаяна Полевая","Аллея Бирюлевская 1354",5,10.0,21,502707,"Кохма"
7,0,"Агунда Богуславская","Аллея Троилинская 281",5,69.88,11,5615686,"Чайковский"
