"owner","square","city","rooms","address","new","floor","floors","price"
"Урсула Ардалионова",10.99,"Зверево",1,"ул. Бойня 1002",0,5,12,287264
"Илья Гермогенов",119.63,"Уфа",7,"ул. Оранжерейная 662",0,1,2,23711452
"Богдан Личутин",30.38,"Братск",2,"ул. Клинская 954",0,1,8,4379780
"Рина Изотова",27.49,"Серов",2,"ул. Дворцовая 936",0,7,12,1489851
"Кора Мурманцева",85.18,"Зверево",5,"Аллея Калмыков 1207",1,10,13,8066893
"Далида Щербакова",15.01,"Серов",1,"ул. Звенигородская 1373",0,4,7,1388351
"Максим Новодворский",51.27,"Данков",3,"ул. Веселая 1165",0,2,13,11140623
"Чулпан Филахтова",16.18,"Данков",1,"Аллея Погонная 1284",0,2,11,1018579
"Цветана Рыбакова",14.7,"Уфа",1,"Аллея Делегатская 630",0,13,21,1751881
"Люсьена Родченкова",93.01,"Зверево",6,"Аллея Оборонная 298",1,11,15,11443923
"Назар Ломоносов",15.62,"Зверево",1,"ул. Третьего Интернационала 366",0,6,14,1556467
"Платон Гарасимов",19.34,"Зверево",1,"Аллея Гражданская 4-я 1370",1,7,15,989589
"Эвита Тынянова",10.0,"Данков",1,"Аллея Пестовская 1356",0,1,10,315059
