"rooms","square","address","new","owner","floors","city","price","floor"
4,62.43,"Аллея Новые Сады 9-я 887",1,"Чулпан Дормидонтова",5,"Баксан",12481495,4
4,44.61,"ул. Линии Октябрьской Железной Дороги 279",0,"Максим Алферьев",14,"Черемхово",2032855,4
1,12.95,"ул. Иваньковское 316",0,"Святослав Боченков",10,"Псков",348815,8
1,15.26,"ул. Саморы Машела 953",0,"Леонид Мерецков",13,"Псков",2449604,5
4,39.76,"Аллея Ильменская 108",0,"Демьян Соболев",3,"Псков",6189419,2
5,69.88,"ул. Староватутинская 191",1,"Фрида Харитонова",18,"Балашиха",13882362,6
1,11.05,"Аллея Прядильная 1-я 1296",0,"Максим Игумнов",21,"Калязин",263585,2
3,38.89,"ул. Валовая 571",1,"Галактион Сегал",9,"Черемхово",3614815,8
3,50.79,"ул. Дмитровское 999",0,"Резеда Всеволожская",18,"Калязин",4427579,6
1,14.86,"Аллея Керамическая 1301",0,"Цагана Белоусова",21,"Балашиха",1879037,20
1,17.03,"ул. Соловьиная Роща 558",1,"Ирада Прохорова",6,"Барабинск",2242873,1
1,11.84,"ул. Сухаревский Б. 72",1,"Рикарда Чарушникова",9,"Барабинск",698236,1
1,10.99,"Аллея Псковская 405",0,"Емельян Арсеньев",25,"Черемхово",1132736,2
9,125.17,"ул. Курьяновская 2-я 745",0,"Исидор Павлинов",25,"Псков",18414087,11
2,21.48,"Аллея Екатерининская М. 699",0,"Доминика Брежнева",24,"Черемхово",3410659,22
4,42.86,"Аллея Брюллова 1006",0,"Флоренс Фурманова",6,"Барабинск",6913053,5
3,32.73,"ул. Миусская 2-я 418",0,"Тая Носкова",2,"Барабинск",2449461,1
6,74.31,"Аллея Таманская 1068",1,"Даяна Негина",12,"Псков",5591673,10
7,99.18,"ул. Палиашвили 1109",1,"Фёдор Абросимов",9,"Псков",13192736,7
4,41.52,"Аллея Братьев Фонченко 418",0,"Айару Афремова",11,"Псков",3287087,8
8,150.63,"Аллея Котляковская 233",1,"Мирослав Михайловский",2,"Бугуруслан",24757139,1
5,79.98,"ул. Малыгинская 1151",0,"Камила Кузьмина",15,"Псков",12994900,2
3,50.4,"Аллея Электрическая 41",1,"Марта Гурьева",7,"Черемхово",7226879,4
6,114.06,"Аллея Рябиновая 1116",0,"Тимур Лебедев",11,"Черемхово",17541818,2
6,116.12,"ул. Московско-Казанская 682",1,"Фелисити Гостева",15,"Черемхово",24364658,3
4,68.59,"ул. Тюменская 291",0,"Роман Севастьянов",19,"Бугуруслан",6413731,7
3,33.02,"Аллея Зюзинская 1230",1,"Герман Астахов",23,"Баксан",5032831,13
2,30.03,"Аллея Петра Романова 675",0,"Родион Сычев",21,"Калязин",3643010,14
2,34.0,"ул. Севастопольская 221",1,"Амина Скуратова",4,"Калязин",6238362,1
1,17.28,"Аллея Промышленная 789",0,"Сергей Довлатов",22,"Анива",625555,11
1,18.56,"ул. Сорокин 1017",0,"Тарас Акимов",3,"Балашиха",2233569,1
3,32.28,"Аллея Павлоградская 1-я 1067",0,"Лаврентий Вавилин",3,"Барабинск",2945463,1
3,27.46,"Аллея Никитская М. 940",0,"Эля Сакина",13,"Барабинск",3634745,10
2,34.8,"Аллея Ямская 2-я 959",1,"Александр Вавилов",14,"Черемхово",3816673,4
3,41.91,"Аллея Пименовская 540",0,"Стелла Богословская",22,"Барабинск",3811408,20
3,33.83,"ул. Шумилова 176",1,"Мирослав Бояндин",20,"Барабинск",2366854,5
1,11.68,"Аллея Фрунзенская 3-я 1329",0,"Родослав Заостровцев",2,"Барабинск",1472564,1
3,32.48,"ул. Пенягинская 2-я 841",1,"Лия Березовская",12,"Баксан",1127025,8
1,18.3,"Аллея Горчакова 782",1,"Лира Белоусова",5,"Псков",1417112,3
1,18.78,"ул. Новопресненская 1290",0,"Тимофей Окунев",8,"Баксан",1877619,6
9,135.91,"Аллея Калужский М. 558",1,"Эвита Яхина",7,"Черемхово",24082253,5
5,88.53,"ул. Кирпичная 997",0,"Азалия Вонифатова",11,"Черемхово",11749611,10
1,16.74,"ул. Козловский М. 535",0,"Ираклий Ливри",10,"Псков",1487793,5
2,33.76,"ул. Серегина 1160",0,"Прохор Суворов",3,"Псков",6793695,1
3,55.42,"ул. Константина Царева 1213",0,"Эрмина Мозговая",17,"Черногорск",8386751,16
2,28.13,"Аллея Верхоянская 793",0,"Феруза Булочникова",13,"Барабинск",4578012,1
8,136.24,"ул. Алабушевская 456",0,"Фаддей Рыжонок",6,"Балашиха",14818991,4
1,10.7,"Аллея Плеханова 588",0,"Сафия Кондратова",20,"Псков",569789,18
1,10.0,"ул. Оборонная 496",0,"Ая Яворская",6,"Черемхово",431859,4
2,30.53,"ул. Новорублевская 2-я 968",0,"Айгуль Феофилова",2,"Черемхово",2456444,1
5,56.05,"Аллея Черепановых 777",0,"Виктор Леонидов",16,"Барабинск",7140174,11
2,27.11,"ул. Чудов Б. 750",1,"Устинья Беседина",22,"Черногорск",1672160,5
5,60.7,"ул. Овчинниковский Ср. 1377",0,"Вениамин Вахтин",17,"Черногорск",4652511,6
3,42.86,"ул. Калитниковская Ср. 3",0,"Савелий Шолохов",12,"Черемхово",7438231,6
4,46.34,"Аллея Андроньевская М. 1104",0,"Клавдия Карасева",3,"Бугуруслан",5807596,2
2,35.83,"Аллея Череповецкая 293",0,"Емельян Дубин",5,"Калязин",6045891,2
2,26.11,"Аллея 1 Маевки 1251",0,"Фёдор Кандель",7,"Барабинск",1153918,6
2,33.87,"ул. Дмитровская 937",0,"Магистриан Славин",13,"Черемхово",6490836,2
4,78.36,"ул. Звенигородская 525",1,"Кира Брагина",1,"Псков",14275776,1
1,11.41,"ул. Пруд Ключики 711",0,"Ефим Удалов",18,"Черемхово",975616,7
6,66.18,"ул. Ясеневая 1386",0,"Валентин Репников",11,"Барабинск",11836592,1
2,37.87,"ул. Беломорская 1225",0,"Лилиана Васечкина",23,"Черемхово",6094720,21
1,10.42,"Аллея Строченовский М. 1126",1,"Арианда Ларионова",11,"Барабинск",990642,5
2,25.96,"ул. Панкратьевская 558",0,"Заира Жарковская",14,"Барабинск",1177296,5
4,44.22,"ул. Литовская 853",0,"Антонин Малафеев",3,"Анива",2780004,1
1,11.86,"ул. Мариупольская 650",0,"Митрофан Бажов",1,"Калязин",250926,1
1,14.76,"Аллея Никулинская 946",0,"Алсу Слепухина",21,"Псков",802379,11
1,10.0,"ул. Лаврушинская 763",1,"Акакий Ломоносов",8,"Черемхово",336581,2
5,81.08,"Аллея Заводской 1254",0,"Пётр Яковлев",5,"Псков",9640545,1
1,15.95,"ул. Захарьино 776",0,"Иакинф Калашников",16,"Барабинск",584619,7
1,12.76,"ул. Свиблово 452",0,"Герман Набоков",17,"Баксан",1423456,7
1,19.02,"ул. Харитоньевский Б. 355",1,"Антонина Беляева",4,"Баксан",2185933,3
1,10.33,"Аллея Академика Сахарова 250",0,"Лика Рогова",13,"Барабинск",437541,3
1,15.84,"ул. Сибиряковская 1139",0,"Прохор Горбунов",8,"Черемхово",1464873,7
2,21.38,"ул. Каретный Ср. 185",0,"Владислава Подушкова",1,"Черемхово",510692,1
6,90.87,"ул. Сестрорецкая 1-я 1014",1,"Эмили Голофтеева",21,"Черемхово",11182260,10
5,90.6,"ул. Ильинский Пос. 69",0,"Зоя Витязева",25,"Калязин",16422107,15
1,15.7,"ул. Добровольческая 282",0,"Антон Евсюков",14,"Черногорск",1497074,11
1,15.02,"Аллея Петровка 1101",1,"Денис Феоктистов",14,"Барабинск",2344144,2
1,20.08,"Аллея Госпитальная 261",1,"Даяна Рогова",17,"Баксан",3200015,2
6,90.18,"Аллея Каланчевская 113",0,"Леонтий Соколов",3,"Бугуруслан",12114494,2
4,56.94,"ул. Гарибальди 696",1,"Степан Харитонов",22,"Барабинск",8702464,5
1,10.0,"Аллея Мелитопольская 897",0,"Василиса Бодрова",20,"Баксан",916133,16
1,19.69,"ул. Витебская 480",1,"Флора Геогиевская",1,"Барабинск",3479912,1
2,38.13,"ул. Новомещерская 1078",1,"Дмитрий Олсуфьев",10,"Черемхово",6569964,5
3,53.92,"Аллея Новоцарицынское 799",1,"Яна Панкратова",1,"Псков",6868597,1
1,11.86,"Аллея Вишневая 1013",0,"Василий Черепанов",1,"Калязин",1431784,1
4,52.8,"ул. Турчанинов 1018",0,"Даяна Владимирская",9,"Балашиха",5178590,6
8,118.68,"Аллея Краснопресненская 668",0,"Беатрис Доброхотова",6,"Барабинск",23626033,5
1,10.0,"ул. Павлоградская 2-я 157",1,"Адиля Уткина",19,"Калязин",258357,18
1,13.32,"ул. Саляма Адиля 94",0,"Родослав Олисов",1,"Псков",1967345,1
1,10.0,"ул. Романов 938",0,"Гульнара Котова",10,"Калязин",293935,3
1,12.59,"Аллея Лазаревская 445",0,"Пейтон Кобрина",7,"Псков",1253801,4
11,210.82,"Аллея Академика Королева 490",1,"Анисья Анхимова",14,"Баксан",38696148,9
5,78.59,"Аллея Енисейская 159",1,"Шейла Арановская",12,"Псков",10262957,2
5,67.48,"ул. Капельская 1013",0,"Герасим Чиж",6,"Калязин",12283318,2
1,17.44,"Аллея Хуторская 1-я 1226",0,"Христофор Останин",2,"Барабинск",935359,1
1,19.67,"ул. Черкасский Б. 682",0,"Евгений Петухов",18,"Бугуруслан",1522274,16
4,58.94,"ул. Петра Романова 1136",1,"Ждан Алехин",24,"Бугуруслан",8442487,8
5,92.19,"ул. Хлобыстова 1110",0,"Лара Бунина",15,"Черногорск",20376378,2
1,18.44,"ул. Строгинская 1157",0,"Егор Позгалёв",23,"Черногорск",1016693,14
3,43.99,"ул. Заморенова 508",0,"Амина Орловская",25,"Барабинск",4059538,23
6,94.84,"Аллея Рогожский Поселок 1165",0,"Долорес Фёдорова",6,"Баксан",11731244,5
6,78.84,"ул. Конюшковский Б. 542",0,"Акакий Стрелков",24,"Балашиха",8618327,5
3,35.92,"ул. Большого Круга 759",0,"Геласий Устьянов",13,"Баксан",5856687,3
4,74.53,"ул. Пыхов-Церковная 265",0,"Архипп Геогиевский",21,"Барабинск",15648673,4
5,72.33,"ул. Владимирская 1-я 375",0,"Гаяна Дежнева",18,"Калязин",7719939,13
1,10.61,"Аллея Довженко 227",0,"Рада Карлова",12,"Черемхово",562222,6
3,58.43,"ул. Бутырская 650",0,"Григорий Тарасов",23,"Балашиха",10779277,13
3,33.14,"Аллея Пятницкая 807",1,"Демьян Светлов",1,"Черемхово",4197305,1
1,17.78,"Аллея Щелковское 1222",0,"Искра Большакова",12,"Псков",1555272,7
1,13.05,"Аллея Кузнецова 171",0,"Мира Жбанова",17,"Бугуруслан",807809,15
1,16.68,"ул. Марфинская 636",0,"Логгин Парфеньев",18,"Барабинск",549231,6
1,13.12,"Аллея Богатырская 3-я 474",0,"Фелисити Яворская",9,"Барабинск",1915493,8
2,33.61,"ул. Новопесчаная 829",1,"Сафия Пескова",20,"Черемхово",5153765,14
1,12.5,"ул. Дегунинская 319",0,"Тора Маркова",5,"Баксан",1127846,2
1,10.0,"Аллея Автозаводская 847",0,"Феликс Хрисогонов",11,"Калязин",265506,6
4,71.78,"ул. Кондратьевский Ср. 912",1,"Олег Упатов",1,"Калязин",13525844,1
1,12.54,"Аллея Костякова 161",1,"Варлам Копелев",3,"Черногорск",483618,2
